symbol,name,slug
bitcoin,BTC,Bitcoin,bitcoin
ethereum,ETH,Ethereum,ethereum
binance-coin,BNB,BNB,binance-coin
tether,USDT,Tether,tether
solana,SOL,Solana,solana
cardano,ADA,Cardano,cardano
xrp,XRP,XRP,xrp
polkadot,DOT,Polkadot,polkadot
usd-coin,USDC,USD Coin,usd-coin
dogecoin,DOGE,Dogecoin,dogecoin
avalanche,AVAX,Avalanche,avalanche
crypto-com-chain,CRO,Crypto.com Chain,crypto-com-chain
shiba-inu,SHIB,Shiba Inu,shiba-inu
terra,LUNA,Terra,terra
litecoin,LTC,Litecoin,litecoin
wrapped-bitcoin,WBTC,Wrapped Bitcoin,wrapped-bitcoin
binance-usd,BUSD,Binance USD,binance-usd
uniswap,UNI,Uniswap,uniswap
chainlink,LINK,Chainlink,chainlink
polygon,MATIC,Polygon,polygon
bitcoin-cash,BCH,Bitcoin Cash,bitcoin-cash
algorand,ALGO,Algorand,algorand
decentraland,MANA,Decentraland,decentraland
elrond,EGLD,Elrond,elrond
axie-infinity,AXS,Axie Infinity,axie-infinity
stellar,XLM,Stellar,stellar
vechain,VET,VeChain,vechain
internet-computer,ICP,Internet Computer,internet-computer
terrausd,UST,TerraUSD,terrausd
ftx-token,FTT,FTX Token,ftx-token
tron,TRX,TRON,tron
cosmos,ATOM,Cosmos,cosmos
thesandbox,SAND,The Sandbox,thesandbox
theta-token,THETA,Theta Network,theta-token
ethereum-classic,ETC,Ethereum Classic,ethereum-classic
dai,DAI,Dai,dai
fantom,FTM,Fantom,fantom
filecoin,FIL,Filecoin,filecoin
hedera-hashgraph,HBAR,Hedera Hashgraph,hedera-hashgraph
near-protocol,NEAR,NEAR Protocol,near-protocol
monero,XMR,Monero,monero
helium,HNT,Helium,helium
tezos,XTZ,Tezos,tezos
iota,MIOTA,IOTA,iota
the-graph,GRT,The Graph,the-graph
flow,FLOW,Flow,flow
loopring,LRC,Loopring,loopring
eos,EOS,EOS,eos
enjin-coin,ENJ,Enjin Coin,enjin-coin
klaytn,KLAY,Klaytn,klaytn
gala,GALA,Gala,gala
zcash,ZEC,Zcash,zcash
aave,AAVE,Aave,aave
pancakeswap,CAKE,PancakeSwap,pancakeswap
harmony,ONE,Harmony,harmony
unus-sed-leo,LEO,Unus Sed Leo,unus-sed-leo
maker,MKR,Maker,maker
bitcoin-sv,BSV,Bitcoin SV,bitcoin-sv
thorchain,RUNE,THORChain,thorchain
kusama,KSM,Kusama,kusama
neo,NEO,NEO,neo
quant-network,QNT,Quant Network,quant-network
chiliz,CHZ,Chiliz,chiliz
kadena,KDA,Kadena,kadena
amp,AMP,Amp,amp
stacks,STX,Stacks,stacks
curve,CRV,Curve,curve
holochain,HOT,Holo,holochain
waves,WAVES,Waves,waves
videocoin,VID,Videocoin,videocoin
mir-coin,MIR,MIR COIN,mir-coin
dash,DASH,Dash,dash
bittorrent,BTT,BitTorrent,bittorrent
kucoin,KCS,KuCoin,kucoin
arweave,AR,Arweave,arweave
celo,CELO,Celo,celo
iotex,IOTX,IoTeX,iotex
theta-fuel,TFUEL,Theta Fuel,theta-fuel
compound,COMP,Compound,compound
wax,WAXP,WAX,wax
basic-attention-token,BAT,Basic Attention Token,basic-attention-token
huobi-token,HT,Huobi Token,huobi-token
new-economy-movement,XEM,NEM,new-economy-movement
nexo,NEXO,Nexo,nexo
mina,MINA,Mina,mina
decred,DCR,Decred,decred
qtum,QTUM,Qtum,qtum
horizen,ZEN,Horizen,horizen
okb,OKB,OKB,okb
oasis-labs,ROSE,Oasis Network,oasis-labs
icon,ICX,ICON,icon
audius,AUDIO,Audius,audius
xinfin-network,XDCE,XDC Network,xinfin-network
ethos,ETHOS,Ethos,ethos
trueusd,TUSD,TrueUSD,trueusd
omg-network,OMG,OMG Network,omg-network
revain,R,Revain,revain
ecomi,OMI,ECOMI,ecomi
render-token,RNDR,Render Token,render-token
yearn-finance,YFI,yearn.finance,yearn-finance
ravencoin,RVN,Ravencoin,ravencoin
frax,FRAX,FRAX,frax
secret-network,SCRT,Secret Network,secret-network
zilliqa,ZIL,Zilliqa,zilliqa
